strategy,n_periods,ann_return,ann_vol,sharpe,max_dd,cvar_95,turnover
1/N equal-weight,219,0.16427307395486235,0.14807861554497959,1.109363923685278,-0.2697865231693293,0.08352321637279297,
Min-var (sample),219,0.11488713048830257,0.11892794800362616,0.9660229779193669,-0.19236082543045752,0.07373524431175224,0.05831785866781715
Min-var (LW),219,0.11488975199110407,0.11898735595864574,0.9655626941658759,-0.19212895868355173,0.07381456784260178,0.05757917198939579
Min-CVaR (95%),219,0.11387108518034106,0.11902466780855092,0.9567015583988077,-0.21753763126662495,0.07348493276945144,0.2640318399717619
